fields.date,fields.gc_obo_gare_origine_r_name,fields.gc_obo_type_c
49,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
49,Paris Montparnasse,Pièces d'identités et papiers personnels
49,Paris Montparnasse,Pièces d'identités et papiers personnels
49,Paris Montparnasse,"Appareils électroniques, informatiques, appareils photo"
49,Paris Montparnasse,"Porte-monnaie / portefeuille, argent, titres"
49,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
49,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
49,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
49,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
49,Paris Montparnasse,Divers
49,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
49,Paris Montparnasse,"Appareils électroniques, informatiques, appareils photo"
49,Paris Montparnasse,Pièces d'identités et papiers personnels
48,Paris Montparnasse,"Vêtements, chaussures"
48,Paris Montparnasse,Optique
48,Paris Montparnasse,"Vêtements, chaussures"
48,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
48,Paris Montparnasse,"Vêtements, chaussures"
48,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
48,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
48,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
48,Paris Montparnasse,"Articles d'enfants, de puériculture"
48,Paris Montparnasse,"Porte-monnaie / portefeuille, argent, titres"
48,Paris Montparnasse,"Appareils électroniques, informatiques, appareils photo"
48,Paris Montparnasse,"Porte-monnaie / portefeuille, argent, titres"
48,Paris Montparnasse,"Vêtements, chaussures"
48,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
48,Paris Montparnasse,Pièces d'identités et papiers personnels
48,Paris Montparnasse,"Porte-monnaie / portefeuille, argent, titres"
48,Paris Montparnasse,"Vêtements, chaussures"
48,Paris Montparnasse,Parapluies
48,Paris Montparnasse,Divers
48,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
48,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
48,Paris Montparnasse,"Porte-monnaie / portefeuille, argent, titres"
48,Paris Montparnasse,"Porte-monnaie / portefeuille, argent, titres"
48,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
48,Paris Montparnasse,"Appareils électroniques, informatiques, appareils photo"
48,Paris Montparnasse,Pièces d'identités et papiers personnels
48,Paris Montparnasse,Optique
48,Paris Montparnasse,"Articles d'enfants, de puériculture"
48,Paris Montparnasse,"Porte-monnaie / portefeuille, argent, titres"
48,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
48,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
48,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
48,Paris Montparnasse,"Articles de sport, loisirs, camping"
48,Paris Montparnasse,"Appareils électroniques, informatiques, appareils photo"
48,Paris Montparnasse,"Livres, articles de papéterie"
48,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
48,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
48,Paris Montparnasse,Optique
48,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
48,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
48,Paris Montparnasse,"Porte-monnaie / portefeuille, argent, titres"
48,Paris Montparnasse,"Porte-monnaie / portefeuille, argent, titres"
48,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
48,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
48,Paris Montparnasse,Instruments de musique
48,Paris Montparnasse,Pièces d'identités et papiers personnels
48,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
48,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
48,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
48,Paris Montparnasse,"Vêtements, chaussures"
48,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
48,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
47,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
47,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
47,Paris Montparnasse,Pièces d'identités et papiers personnels
47,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
47,Paris Montparnasse,Pièces d'identités et papiers personnels
47,Paris Montparnasse,Divers
47,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
47,Paris Montparnasse,"Vêtements, chaussures"
