,fields.date,objet_jour
1202,2022-04-17,31
1203,2022-04-18,14
1204,2022-04-19,128
1205,2022-04-20,80
1206,2022-04-21,76
1207,2022-04-22,82
1208,2022-04-23,33
1209,2022-04-24,12
1210,2022-04-25,95
1211,2022-04-26,69
1212,2022-04-27,78
1213,2022-04-28,63
1214,2022-04-29,99
1215,2022-04-30,41
1216,2022-05-01,30
1217,2022-05-02,82
1218,2022-05-03,75
1219,2022-05-04,69
1220,2022-05-05,62
1221,2022-05-06,73
1222,2022-05-07,39
1223,2022-05-08,23
1224,2022-05-09,97
1225,2022-05-10,69
1226,2022-05-11,54
1227,2022-05-12,42
1228,2022-05-13,75
1229,2022-05-14,54
1230,2022-05-15,47
1231,2022-05-16,59
1232,2022-05-17,43
1233,2022-05-18,43
1234,2022-05-19,98
1235,2022-05-20,92
1236,2022-05-21,63
